Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-10,3285
Cumulative number of confirmed Ebola cases,Guinea,2015-03-10,2871
Cumulative number of probable Ebola cases,Guinea,2015-03-10,392
Cumulative number of suspected Ebola cases,Guinea,2015-03-10,22
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-10,2170
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-10,1778
Cumulative number of probable Ebola deaths,Guinea,2015-03-10,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-10,9343
Cumulative number of confirmed Ebola cases,Liberia,2015-03-10,3150
Cumulative number of probable Ebola cases,Liberia,2015-03-10,1879
Cumulative number of suspected Ebola cases,Liberia,2015-03-10,4314
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-10,4162
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-10,11619
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-10,8428
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-10,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-10,2904
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-10,3629
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-10,3263
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-10,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-10,158
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-10,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-10,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-10,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-10,7
Cumulative number of probable Ebola cases,Mali,2015-03-10,1
Cumulative number of suspected Ebola cases,Mali,2015-03-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-10,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-10,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-10,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-10,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-10,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-10,1
Cumulative number of probable Ebola cases,Senegal,2015-03-10,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-10,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-10,1
Cumulative number of probable Ebola cases,Spain,2015-03-10,0
Cumulative number of suspected Ebola cases,Spain,2015-03-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-10,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-10,4
Cumulative number of probable Ebola cases,United States of America,2015-03-10,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-10,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-10,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-10,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-10,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-10,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-10,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-10,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-10,0
Cumulative number of probable Ebola deaths,Spain,2015-03-10,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-10,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-10,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-10,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-10,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-06,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-06,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-06,3248
Cumulative number of confirmed Ebola cases,Guinea,2015-03-06,2840
Cumulative number of probable Ebola cases,Guinea,2015-03-06,392
Cumulative number of suspected Ebola cases,Guinea,2015-03-06,16
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-06,2147
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-06,1755
Cumulative number of probable Ebola deaths,Guinea,2015-03-06,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-06,9249
Cumulative number of confirmed Ebola cases,Liberia,2015-03-06,3150
Cumulative number of probable Ebola cases,Liberia,2015-03-06,1877
Cumulative number of suspected Ebola cases,Liberia,2015-03-06,4222
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-06,4117
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-06,11517
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-06,8389
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-06,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-06,2841
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-06,3576
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-06,3210
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-06,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-06,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-06,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-06,7
Cumulative number of probable Ebola cases,Mali,2015-03-06,1
Cumulative number of suspected Ebola cases,Mali,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-06,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-06,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-06,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-06,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-06,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-06,1
Cumulative number of probable Ebola cases,Senegal,2015-03-06,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-06,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-06,1
Cumulative number of probable Ebola cases,Spain,2015-03-06,0
Cumulative number of suspected Ebola cases,Spain,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-06,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-06,4
Cumulative number of probable Ebola cases,United States of America,2015-03-06,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-06,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-06,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-06,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-06,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-06,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-06,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-06,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-06,0
Cumulative number of probable Ebola deaths,Spain,2015-03-06,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-06,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-06,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-06,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-06,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-05,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-05,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-05,3237
Cumulative number of confirmed Ebola cases,Guinea,2015-03-05,2833
Cumulative number of probable Ebola cases,Guinea,2015-03-05,392
Cumulative number of suspected Ebola cases,Guinea,2015-03-05,12
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-05,2141
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-05,1749
